tf_id	scroll	book	chapter	verse	lex	g_cons	stem	pattern	pattern_g_cons	vs	vt	nu	gn	ps	sp	prs	nme	hloc	prefix_g_cons	rec_signs	cor_signs	heb_g_cons	other_vowel_ending	final_h	line	column	has_pronominal_suffix	has_prefix	has_hloc	has_nme	rec_signs_stem	cor_signs_stem	type	vowel_letter	has_vowel_letter
976	MT	Genesis	2	16	>KL[	>KL	>KL	CCC	CCC	qal	infa		unknown	unknown	verb					nnn	nnn	אכל		noH	-	-	0	0	0	0	nnn	nnn	first		0
3598	MT	Genesis	8	3	HLK[	HLWK	HLWK	CCMC	CCMC	qal	infa		unknown	unknown	verb					nnnn	nnnn	הלוך		noH	-	-	0	0	0	0	nnnn	nnnn	first		0
3634	MT	Genesis	8	5	HLK[	HLWK	HLWK	CCMC	CCMC	qal	infa		unknown	unknown	verb					nnnn	nnnn	הלוך		noH	-	-	0	0	0	0	nnnn	nnnn	first		0
3636	MT	Genesis	8	5	XSR[	XSWR	XSWR	CCMC	CCMC	qal	infa		unknown	unknown	verb				W	nnnn	nnnn	חסור		noH	-	-	0	1	0	0	nnnn	nnnn	first		0
3676	MT	Genesis	8	7	JY>[	JYW>	JYW>	CCMM	CCMM	qal	infa		unknown	unknown	verb					nnnn	nnnn	יצוא		noH	-	-	0	0	0	0	nnnn	nnnn	first		0
5668	MT	Genesis	12	9	HLK[	HLWK	HLWK	CCMC	CCMC	qal	infa		unknown	unknown	verb					nnnn	nnnn	הלוך		noH	-	-	0	0	0	0	nnnn	nnnn	first		0
5670	MT	Genesis	12	9	NS<[	NSW<	NSW<	CCMC	CCMC	qal	infa		unknown	unknown	verb				W	nnnn	nnnn	נסוע		noH	-	-	0	1	0	0	nnnn	nnnn	first		0
6883	MT	Genesis	15	13	JD<[	JD<	JD<	CCC	CCC	qal	infa		unknown	unknown	verb					nnn	nnn	ידע		noH	-	-	0	0	0	0	nnn	nnn	first		0
8608	MT	Genesis	19	9	CPV[	CPWV	CPWV	CCMC	CCMC	qal	infa		unknown	unknown	verb					nnnn	nnnn	שפוט		noH	-	-	0	0	0	0	nnnn	nnnn	first		0
9608	MT	Genesis	20	18	<YR[	<YR	<YR	CCC	CCC	qal	infa		unknown	unknown	verb					nnn	nnn	עצר		noH	-	-	0	0	0	0	nnn	nnn	first		0
13240	MT	Genesis	26	13	HLK[	HLWK	HLWK	CCMC	CCMC	qal	infa		unknown	unknown	verb					nnnn	nnnn	הלוך		noH	-	-	0	0	0	0	nnnn	nnnn	first		0
14142	MT	Genesis	27	30	JY>[	JY>	JY>	CCM	CCM	qal	infa		unknown	unknown	verb					nnn	nnn	יצא		noH	-	-	0	0	0	0	nnn	nnn	first		0
15851	MT	Genesis	30	16	FKR[	FKR	FKR	CCC	CCC	qal	infa		unknown	unknown	verb					nnn	nnn	שכר		noH	-	-	0	0	0	0	nnn	nnn	first		0
16650	MT	Genesis	31	15	>KL[	>KWL	>KWL	CCMC	CCMC	qal	infa		unknown	unknown	verb					nnnn	nnnn	אכול		noH	-	-	0	0	0	0	nnnn	nnnn	first		0
16923	MT	Genesis	31	30	HLK[	HLK	HLK	CCC	CCC	qal	infa		unknown	unknown	verb					nnn	nnn	הלך		noH	-	-	0	0	0	0	nnn	nnn	first		0
20300	MT	Genesis	37	8	MLK[	MLK	MLK	CCC	CCC	qal	infa		unknown	unknown	verb				H	nnn	nnn	מלך		noH	-	-	0	1	0	0	nnn	nnn	first		0
20304	MT	Genesis	37	8	MCL[	MCWL	MCWL	CCMC	CCMC	qal	infa		unknown	unknown	verb					nnnn	nnnn	משול		noH	-	-	0	0	0	0	nnnn	nnnn	first		0
20789	MT	Genesis	37	33	VRP[	VRP	VRP	CCC	CCC	qal	infa		unknown	unknown	verb					nnn	nnn	טרף		noH	-	-	0	0	0	0	nnn	nnn	first		0
23140	MT	Genesis	41	43	NTN[	NTWN	NTWN	CCMC	CCMC	qal	infa		unknown	unknown	verb				W	nnnn	nnnn	נתון		noH	-	-	0	1	0	0	nnnn	nnnn	first		0
24234	MT	Genesis	43	7	C>L[	C>WL	C>WL	CCMC	CCMC	qal	infa		unknown	unknown	verb					nnnn	nnnn	שאול		noH	-	-	0	0	0	0	nnnn	nnnn	first		0
24262	MT	Genesis	43	7	JD<[	JDW<	JDW<	CCMC	CCMC	qal	infa		unknown	unknown	verb				H	nnnn	nnnn	ידוע		noH	-	-	0	1	0	0	nnnn	nnnn	first		0
24545	MT	Genesis	43	20	JRD[	JRD	JRD	CCC	CCC	qal	infa		unknown	unknown	verb					nnn	nnn	ירד		noH	-	-	0	0	0	0	nnn	nnn	first		0
25333	MT	Genesis	44	28	VRP[	VRP	VRP	CCC	CCC	qal	infa		unknown	unknown	verb					nnn	nnn	טרף		noH	-	-	0	0	0	0	nnn	nnn	first		0
28706	MT	Genesis	50	24	PQD[	PQD	PQD	CCC	CCC	qal	infa		unknown	unknown	verb					nnn	nnn	פקד		noH	-	-	0	0	0	0	nnn	nnn	first		0
28737	MT	Genesis	50	25	PQD[	PQD	PQD	CCC	CCC	qal	infa		unknown	unknown	verb					nnn	nnn	פקד		noH	-	-	0	0	0	0	nnn	nnn	first		0
30009	MT	Exodus	3	16	PQD[	PQD	PQD	CCC	CCC	qal	infa		unknown	unknown	verb					nnn	nnn	פקד		noH	-	-	0	0	0	0	nnn	nnn	first		0
35795	MT	Exodus	13	3	ZKR[	ZKWR	ZKWR	CCMC	CCMC	qal	infa		unknown	unknown	verb					nnnn	nnnn	זכור		noH	-	-	0	0	0	0	nnnn	nnnn	first		0
36168	MT	Exodus	13	19	PQD[	PQD	PQD	CCC	CCC	qal	infa		unknown	unknown	verb					nnn	nnn	פקד		noH	-	-	0	0	0	0	nnn	nnn	first		0
37296	MT	Exodus	15	26	CM<[	CMW<	CMW<	CCMC	CCMC	qal	infa		unknown	unknown	verb					nnnn	nnnn	שמוע		noH	-	-	0	0	0	0	nnnn	nnnn	first		0
38830	MT	Exodus	18	18	NBL[	NBL	NBL	CCC	CCC	qal	infa		unknown	unknown	verb					nnn	nnn	נבל		noH	-	-	0	0	0	0	nnn	nnn	first		0
39138	MT	Exodus	19	5	CM<[	CMW<	CMW<	CCMC	CCMC	qal	infa		unknown	unknown	verb					nnnn	nnnn	שמוע		noH	-	-	0	0	0	0	nnnn	nnnn	first		0
39329	MT	Exodus	19	13	SQL[	SQWL	SQWL	CCMC	CCMC	qal	infa		unknown	unknown	verb					nnnn	nnnn	סקול		noH	-	-	0	0	0	0	nnnn	nnnn	first		0
39711	MT	Exodus	20	8	ZKR[	ZKWR	ZKWR	CCMC	CCMC	qal	infa		unknown	unknown	verb					nnnn	nnnn	זכור		noH	-	-	0	0	0	0	nnnn	nnnn	first		0
40080	MT	Exodus	21	5	>MR[	>MR	>MR	CCC	CCC	qal	infa		unknown	unknown	verb					nnn	nnn	אמר		noH	-	-	0	0	0	0	nnn	nnn	first		0
40309	MT	Exodus	21	20	NQM[	NQM	NQM	CCC	CCC	qal	infa		unknown	unknown	verb					nnn	nnn	נקם		noH	-	-	0	0	0	0	nnn	nnn	first		0
40337	MT	Exodus	21	22	<NC[	<NWC	<NWC	CCMC	CCMC	qal	infa		unknown	unknown	verb					nnnn	nnnn	ענוש		noH	-	-	0	0	0	0	nnnn	nnnn	first		0
40424	MT	Exodus	21	28	SQL[	SQWL	SQWL	CCMC	CCMC	qal	infa		unknown	unknown	verb					nnnn	nnnn	סקול		noH	-	-	0	0	0	0	nnnn	nnnn	first		0
40820	MT	Exodus	22	11	GNB[	GNB	GNB	CCC	CCC	qal	infa		unknown	unknown	verb					nnn	nnn	גנב		noH	-	-	0	0	0	0	nnn	nnn	first		0
40828	MT	Exodus	22	12	VRP[	VRP	VRP	CCC	CCC	qal	infa		unknown	unknown	verb					nnn	nnn	טרף		noH	-	-	0	0	0	0	nnn	nnn	first		0
40874	MT	Exodus	22	15	MHR=[	MHR	MHR	CCC	CCC	qal	infa		unknown	unknown	verb					nnn	nnn	מהר		noH	-	-	0	0	0	0	nnn	nnn	first		0
40936	MT	Exodus	22	22	Y<Q[	Y<Q	Y<Q	CCC	CCC	qal	infa		unknown	unknown	verb					nnn	nnn	צעק		noH	-	-	0	0	0	0	nnn	nnn	first		0
40939	MT	Exodus	22	22	CM<[	CM<	CM<	CCC	CCC	qal	infa		unknown	unknown	verb					nnn	nnn	שמע		noH	-	-	0	0	0	0	nnn	nnn	first		0
40977	MT	Exodus	22	25	XBL[	XBL	XBL	CCC	CCC	qal	infa		unknown	unknown	verb					nnn	nnn	חבל		noH	-	-	0	0	0	0	nnn	nnn	first		0
41121	MT	Exodus	23	5	<ZB[	<ZB	<ZB	CCC	CCC	qal	infa		unknown	unknown	verb					nnn	nnn	עזב		noH	-	-	0	0	0	0	nnn	nnn	first		0
41385	MT	Exodus	23	22	CM<[	CM<	CM<	CCC	CCC	qal	infa		unknown	unknown	verb					nnn	nnn	שמע		noH	-	-	0	0	0	0	nnn	nnn	first		0
52981	MT	Leviticus	2	6	PTT[	PTWT	PTWT	CCMC	CCMC	qal	infa		unknown	unknown	verb					nnnn	nnnn	פתות		noH	-	-	0	0	0	0	nnnn	nnnn	first		0
54742	MT	Leviticus	5	19	>CM[	>CM	>CM	CCC	CCC	qal	infa		unknown	unknown	verb					nnn	nnn	אשם		noH	-	-	0	0	0	0	nnn	nnn	first		0
55766	MT	Leviticus	7	24	>KL[	>KL	>KL	CCC	CCC	qal	infa		unknown	unknown	verb				W	nnn	nnn	אכל		noH	-	-	0	1	0	0	nnn	nnn	first		0
57739	MT	Leviticus	10	16	DRC[	DRC	DRC	CCC	CCC	qal	infa		unknown	unknown	verb					nnn	nnn	דרש		noH	-	-	0	0	0	0	nnn	nnn	first		0
57797	MT	Leviticus	10	18	>KL[	>KWL	>KWL	CCMC	CCMC	qal	infa		unknown	unknown	verb					nnnn	nnnn	אכול		noH	-	-	0	0	0	0	nnnn	nnnn	first		0
59134	MT	Leviticus	13	12	PRX[	PRWX	PRWX	CCMC	CCMC	qal	infa		unknown	unknown	verb					nnnn	nnnn	פרוח		noH	-	-	0	0	0	0	nnnn	nnnn	first		0
61969	MT	Leviticus	15	24	CKB[	CKB	CKB	CCC	CCC	qal	infa		unknown	unknown	verb					nnn	nnn	שכב		noH	-	-	0	0	0	0	nnn	nnn	first		0
67044	MT	Leviticus	24	16	RGM[	RGWM	RGWM	CCMC	CCMC	qal	infa		unknown	unknown	verb					nnnn	nnnn	רגום		noH	-	-	0	0	0	0	nnnn	nnnn	first		0
69205	MT	Leviticus	27	13	G>L[	G>L	G>L	CCC	CCC	qal	infa		unknown	unknown	verb					nnn	nnn	גאל		noH	-	-	0	0	0	0	nnn	nnn	first		0
69317	MT	Leviticus	27	19	G>L[	G>L	G>L	CCC	CCC	qal	infa		unknown	unknown	verb					nnn	nnn	גאל		noH	-	-	0	0	0	0	nnn	nnn	first		0
69550	MT	Leviticus	27	31	G>L[	G>L	G>L	CCC	CCC	qal	infa		unknown	unknown	verb					nnn	nnn	גאל		noH	-	-	0	0	0	0	nnn	nnn	first		0
71783	MT	Numbers	4	2	NF>[	NF>	NF>	CCM	CCM	qal	infa		unknown	unknown	verb					nnn	nnn	נשא		noH	-	-	0	0	0	0	nnn	nnn	first		0
72205	MT	Numbers	4	22	NF>[	NF>	NF>	CCM	CCM	qal	infa		unknown	unknown	verb					nnn	nnn	נשא		noH	-	-	0	0	0	0	nnn	nnn	first		0
73857	MT	Numbers	6	23	>MR[	>MWR	>MWR	CCMC	CCMC	qal	infa		unknown	unknown	verb					nnnn	nnnn	אמור		noH	-	-	0	0	0	0	nnnn	nnnn	first		0
77096	MT	Numbers	11	15	HRG[	HRG	HRG	CCC	CCC	qal	infa		unknown	unknown	verb					nnn	nnn	הרג		noH	-	-	0	0	0	0	nnn	nnn	first		0
77535	MT	Numbers	11	32	CVX[	CVWX	CVWX	CCMC	CCMC	qal	infa		unknown	unknown	verb					nnnn	nnnn	שטוח		noH	-	-	0	0	0	0	nnnn	nnnn	first		0
77814	MT	Numbers	12	14	JRQ[	JRQ	JRQ	CCC	CCC	qal	infa		unknown	unknown	verb					nnn	nnn	ירק		noH	-	-	0	0	0	0	nnn	nnn	first		0
78337	MT	Numbers	13	30	JKL[	JKWL	JKWL	CCMC	CCMC	qal	infa		unknown	unknown	verb					nnnn	nnnn	יכול		noH	-	-	0	0	0	0	nnnn	nnnn	first		0
79935	MT	Numbers	15	35	RGM[	RGWM	RGWM	CCMC	CCMC	qal	infa		unknown	unknown	verb					nnnn	nnnn	רגום		noH	-	-	0	0	0	0	nnnn	nnnn	first		0
83158	MT	Numbers	21	2	NTN[	NTN	NTN	CCC	CCC	qal	infa		unknown	unknown	verb					nnn	nnn	נתן		noH	-	-	0	0	0	0	nnn	nnn	first		0
84605	MT	Numbers	22	37	CLX[	CLX	CLX	CCC	CCC	qal	infa		unknown	unknown	verb					nnn	nnn	שלח		noH	-	-	0	0	0	0	nnn	nnn	first		0
84630	MT	Numbers	22	38	JKL[	JKWL	JKWL	CCMC	CCMC	qal	infa		unknown	unknown	verb				H	nnnn	nnnn	יכול		noH	-	-	0	1	0	0	nnnn	nnnn	first		0
85900	MT	Numbers	25	17	YRR=[	YRWR	YRWR	CCMC	CCMC	qal	infa		unknown	unknown	verb					nnnn	nnnn	צרור		noH	-	-	0	0	0	0	nnnn	nnnn	first		0
87023	MT	Numbers	27	7	NTN[	NTN	NTN	CCC	CCC	qal	infa		unknown	unknown	verb					nnn	nnn	נתן		noH	-	-	0	0	0	0	nnn	nnn	first		0
92331	MT	Numbers	35	26	JY>[	JY>	JY>	CCM	CCM	qal	infa		unknown	unknown	verb					nnn	nnn	יצא		noH	-	-	0	0	0	0	nnn	nnn	first		0
93121	MT	Deuteronomy	1	16	CM<[	CM<	CM<	CCC	CCC	qal	infa		unknown	unknown	verb					nnn	nnn	שמע		noH	-	-	0	0	0	0	nnn	nnn	first		0
95758	MT	Deuteronomy	4	26	>BD[	>BD	>BD	CCC	CCC	qal	infa		unknown	unknown	verb					nnn	nnn	אבד		noH	-	-	0	0	0	0	nnn	nnn	first		0
96519	MT	Deuteronomy	5	12	CMR[	CMWR	CMWR	CCMC	CCMC	qal	infa		unknown	unknown	verb					nnnn	nnnn	שמור		noH	-	-	0	0	0	0	nnnn	nnnn	first		0
97244	MT	Deuteronomy	6	17	CMR[	CMWR	CMWR	CCMC	CCMC	qal	infa		unknown	unknown	verb					nnnn	nnnn	שמור		noH	-	-	0	0	0	0	nnnn	nnnn	first		0
97816	MT	Deuteronomy	7	18	ZKR[	ZKR	ZKR	CCC	CCC	qal	infa		unknown	unknown	verb					nnn	nnn	זכר		noH	-	-	0	0	0	0	nnn	nnn	first		0
98359	MT	Deuteronomy	8	19	CKX[	CKX	CKX	CCC	CCC	qal	infa		unknown	unknown	verb					nnn	nnn	שכח		noH	-	-	0	0	0	0	nnn	nnn	first		0
98379	MT	Deuteronomy	8	19	>BD[	>BD	>BD	CCC	CCC	qal	infa		unknown	unknown	verb					nnn	nnn	אבד		noH	-	-	0	0	0	0	nnn	nnn	first		0
98927	MT	Deuteronomy	9	21	VXN[	VXWN	VXWN	CCMC	CCMC	qal	infa		unknown	unknown	verb					nnnn	nnnn	טחון		noH	-	-	0	0	0	0	nnnn	nnnn	first		0
99870	MT	Deuteronomy	11	13	CM<[	CM<	CM<	CCC	CCC	qal	infa		unknown	unknown	verb					nnn	nnn	שמע		noH	-	-	0	0	0	0	nnn	nnn	first		0
100051	MT	Deuteronomy	11	22	CMR[	CMR	CMR	CCC	CCC	qal	infa		unknown	unknown	verb					nnn	nnn	שמר		noH	-	-	0	0	0	0	nnn	nnn	first		0
101251	MT	Deuteronomy	13	10	HRG[	HRG	HRG	CCC	CCC	qal	infa		unknown	unknown	verb					nnn	nnn	הרג		noH	-	-	0	0	0	0	nnn	nnn	first		0
101769	MT	Deuteronomy	14	21	MKR[	MKR	MKR	CCC	CCC	qal	infa		unknown	unknown	verb					nnn	nnn	מכר		noH	-	-	0	0	0	0	nnn	nnn	first		0
102003	MT	Deuteronomy	15	2	CMV[	CMWV	CMWV	CCMC	CCMC	qal	infa		unknown	unknown	verb					nnnn	nnnn	שמוט		noH	-	-	0	0	0	0	nnnn	nnnn	first		0
102059	MT	Deuteronomy	15	5	CM<[	CMW<	CMW<	CCMC	CCMC	qal	infa		unknown	unknown	verb					nnnn	nnnn	שמוע		noH	-	-	0	0	0	0	nnnn	nnnn	first		0
102136	MT	Deuteronomy	15	8	PTX[	PTX	PTX	CCC	CCC	qal	infa		unknown	unknown	verb					nnn	nnn	פתח		noH	-	-	0	0	0	0	nnn	nnn	first		0
102186	MT	Deuteronomy	15	10	NTN[	NTWN	NTWN	CCMC	CCMC	qal	infa		unknown	unknown	verb					nnnn	nnnn	נתון		noH	-	-	0	0	0	0	nnnn	nnnn	first		0
102228	MT	Deuteronomy	15	11	PTX[	PTX	PTX	CCC	CCC	qal	infa		unknown	unknown	verb					nnn	nnn	פתח		noH	-	-	0	0	0	0	nnn	nnn	first		0
102467	MT	Deuteronomy	16	1	CMR[	CMWR	CMWR	CCMC	CCMC	qal	infa		unknown	unknown	verb					nnnn	nnnn	שמור		noH	-	-	0	0	0	0	nnnn	nnnn	first		0
105070	MT	Deuteronomy	21	14	MKR[	MKR	MKR	CCC	CCC	qal	infa		unknown	unknown	verb				W	nnn	nnn	מכר		noH	-	-	0	1	0	0	nnn	nnn	first		0
105266	MT	Deuteronomy	21	23	QBR[	QBWR	QBWR	CCMC	CCMC	qal	infa		unknown	unknown	verb					nnnn	nnnn	קבור		noH	-	-	0	0	0	0	nnnn	nnnn	first		0
106271	MT	Deuteronomy	23	22	DRC[	DRC	DRC	CCC	CCC	qal	infa		unknown	unknown	verb					nnn	nnn	דרש		noH	-	-	0	0	0	0	nnn	nnn	first		0
106541	MT	Deuteronomy	24	9	ZKR[	ZKWR	ZKWR	CCMC	CCMC	qal	infa		unknown	unknown	verb					nnnn	nnnn	זכור		noH	-	-	0	0	0	0	nnnn	nnnn	first		0
107093	MT	Deuteronomy	25	17	ZKR[	ZKWR	ZKWR	CCMC	CCMC	qal	infa		unknown	unknown	verb					nnnn	nnnn	זכור		noH	-	-	0	0	0	0	nnnn	nnnn	first		0
107668	MT	Deuteronomy	27	1	CMR[	CMR	CMR	CCC	CCC	qal	infa		unknown	unknown	verb					nnn	nnn	שמר		noH	-	-	0	0	0	0	nnn	nnn	first		0
108109	MT	Deuteronomy	28	1	CM<[	CMW<	CMW<	CCMC	CCMC	qal	infa		unknown	unknown	verb					nnnn	nnnn	שמוע		noH	-	-	0	0	0	0	nnnn	nnnn	first		0
110571	MT	Deuteronomy	30	18	>BD[	>BD	>BD	CCC	CCC	qal	infa		unknown	unknown	verb					nnn	nnn	אבד		noH	-	-	0	0	0	0	nnn	nnn	first		0
111317	MT	Deuteronomy	31	26	LQX[	LQX	LQX	CCC	CCC	qal	infa		unknown	unknown	verb					nnn	nnn	לקח		noH	-	-	0	0	0	0	nnn	nnn	first		0
113209	MT	Joshua	1	13	ZKR[	ZKWR	ZKWR	CCMC	CCMC	qal	infa		unknown	unknown	verb					nnnn	nnnn	זכור		noH	-	-	0	0	0	0	nnnn	nnnn	first		0
115563	MT	Joshua	6	9	HLK[	HLWK	HLWK	CCMC	CCMC	qal	infa		unknown	unknown	verb					nnnn	nnnn	הלוך		noH	-	-	0	0	0	0	nnnn	nnnn	first		0
115565	MT	Joshua	6	9	TQ<[	TQW<	TQW<	CCMC	CCMC	qal	infa		unknown	unknown	verb				W	nnnn	nnnn	תקוע		noH	-	-	0	1	0	0	nnnn	nnnn	first		0
115643	MT	Joshua	6	13	HLK[	HLWK	HLWK	CCMC	CCMC	qal	infa		unknown	unknown	verb					nnnn	nnnn	הלוך		noH	-	-	0	0	0	0	nnnn	nnnn	first		0
115662	MT	Joshua	6	13	HLK[	HWLK	HWLK			qal	infa		unknown	unknown	verb					nnnn	nnnn	הולך		noH	-	-	0	0	0	0	nnnn	nnnn	first		0
115664	MT	Joshua	6	13	TQ<[	TQW<	TQW<	CCMC	CCMC	qal	infa		unknown	unknown	verb				W	nnnn	nnnn	תקוע		noH	-	-	0	1	0	0	nnnn	nnnn	first		0
126463	MT	Joshua	23	13	JD<[	JDW<	JDW<	CCMC	CCMC	qal	infa		unknown	unknown	verb					nnnn	nnnn	ידוע		noH	-	-	0	0	0	0	nnnn	nnnn	first		0
129562	MT	Judges	4	9	HLK[	HLK	HLK	CCC	CCC	qal	infa		unknown	unknown	verb					nnn	nnn	הלך		noH	-	-	0	0	0	0	nnn	nnn	first		0
129946	MT	Judges	4	24	HLK[	HLWK	HLWK	CCMC	CCMC	qal	infa		unknown	unknown	verb					nnnn	nnnn	הלוך		noH	-	-	0	0	0	0	nnnn	nnnn	first		0
130281	MT	Judges	5	23	>RR[	>RWR	>RWR	CCMC	CCMC	qal	infa		unknown	unknown	verb					nnnn	nnnn	ארור		noH	-	-	0	0	0	0	nnnn	nnnn	first		0
131951	MT	Judges	7	19	NPY[	NPWY	NPWY	CCMC	CCMC	qal	infa		unknown	unknown	verb				W	nnnn	nnnn	נפוץ		noH	-	-	0	1	0	0	nnnn	nnnn	first		0
